Name,Features,Category
Smartphone X1,"6.5-inch display, 128GB storage, 5G",Electronics
Laptop Pro 14,"14-inch, 16GB RAM, 512GB SSD",Electronics
Wireless Earbuds,"Noise cancellation, Bluetooth 5.2",Accessories
Smartwatch Z,"Heart rate monitor, GPS, Waterproof",Wearables
Gaming Console Y,"4K resolution, 1TB storage",Gaming
Electric Kettle,"1.7L capacity, Auto shut-off",Home Appliances
Air Purifier,"HEPA filter, 3-speed fan",Home Appliances
Vacuum Cleaner,"Bagless, Cordless, 40min runtime",Home Appliances
Fitness Tracker,"Step counter, Sleep monitor",Wearables
Bluetooth Speaker,"Portable, 20h battery, Waterproof",Accessories
4K TV 55","Smart TV, HDR, 55-inch",Electronics
Microwave Oven,"1000W, Grill function, 30L",Home Appliances
Refrigerator XL,"Double-door, 350L, Energy star",Home Appliances
Office Chair,"Ergonomic, Adjustable height",Furniture
Coffee Maker,"Espresso, Cappuccino, Auto-clean",Home Appliances
Gaming Mouse,"RGB, 6 programmable buttons",Gaming
Tablet S10,"10-inch, 64GB, Stylus support",Electronics
Smart Lamp,"Wi-Fi enabled, Voice control",Home Appliances
Camera Pro,"24MP, 4K video, Wi-Fi",Electronics
E-book Reader,"6-inch display, 8GB storage",Electronics
